id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptHydrostatChrgPrs;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;imptAboveHydrostatChrgPrs;imptEngLoadPercent;imptEngRPMPercent;imptGndSpdPercent;imptBaseCutPrsPercent;imptBaseCutHghtPercent;imptChopperHydPrsPercent;imptChopperRPMPercent;imptHydrostatChrgPrsPercent;imptAboveEngLoadPercent;imptAboveEngRPMPercent;imptAboveGndSpdPercent;imptAboveBaseCutPrsPercent;imptAboveBaseCutHghtPercent;imptAboveChopperHydPrsPercent;imptAboveChopperRPMPercent;imptAboveHydrostatChrgPrsPercent;anomalyAcumulate;totalAcumulate
110;116884;1034;115850;0,032141578887338866;0,12013576868394744;0,06455014239105994;0,09679053611584904;71006;2024-10-29;0,9;24840,60;9382,78;35246,59;36121,93;14522,31;43652,48;25572,29;21043,85;678,59;628,97;855,38;828,37;562,86;2015,52;1002,14;384,51;11,81;4,46;16,75;17,17;6,90;20,75;12,16;10,00;9,76;9,04;12,30;11,91;8,09;28,97;14,41;5,53;56303;7716639
111;98018;224;97794;0,034696123111224636;0,1425499568124203;0,0885318576978722;0,1027962683529152;56354;2024-10-30;0,2;21234,67;7755,54;26618,39;34736,87;12097,67;46029,96;23796,41;18177,78;148,86;105,25;172,87;158,09;161,11;634,20;303,08;104,69;11,15;4,07;13,98;18,24;6,35;24,17;12,50;9,54;8,32;5,89;9,67;8,84;9,01;35,47;16,95;5,85;56527;7814657
112;105518;2429;103089;0,036848983926231926;0,12024201818633391;0,0594236648651494;0,100650062020355;70282;2024-10-31;2,3;24703,21;8809,73;39401,15;35634,70;14230,92;48883,98;25767,92;20309,34;1223,33;589,61;2728,43;2174,66;1478,89;5418,98;1888,85;853,05;11,35;4,05;18,10;16,37;6,54;22,45;11,83;9,33;7,48;3,60;16,68;13,30;9,04;33,13;11,55;5,22;58956;7920175
113;86082;1038;85044;0,03425918842379067;0,13689942248580136;0,07917440086941281;0,10249936929192463;59300;2024-11-01;1,2;19599,69;6995,66;27542,22;28360,56;10312,74;36355,94;20115,97;15866,78;628,12;362,05;898,70;989,72;627,67;2815,72;1213,65;422,06;11,87;4,24;16,68;17,17;6,24;22,01;12,18;9,61;7,89;4,55;11,29;12,44;7,89;35,38;15,25;5,30;59994;8006257
114;31101;797;30304;0,03833406290799131;0,141346581785604;0,07959061997001496;0,11050391023827315;22309;2024-11-02;2,6;7716,37;2698,49;11662,64;9427,56;4567,52;16462,74;7836,86;6392,58;598,75;324,43;779,93;609,92;651,10;2015,53;929,01;399,92;11,56;4,04;17,47;14,12;6,84;24,66;11,74;9,57;9,49;5,14;12,36;9,67;10,32;31,95;14,73;6,34;60791;8037358
115;61672;32567;29105;0,13197290026623806;0,21525755333119723;0,03625797894150254;0,21315145425775636;42074;2024-11-11;52,8;29729,48;8952,99;46748,84;35605,27;13052,69;52018,75;240946,17;28731,64;23080,40;6546,23;32001,90;27024,69;8790,66;40366,57;233236,84;21529,09;6,52;1,96;10,26;7,81;2,86;11,41;52,86;6,30;5,88;1,67;8,15;6,88;2,24;10,28;59,41;5,48;93358;8099030
116;75139;242;74897;0,03361113559188314;0,13905031446110466;0,0799617755205078;0,11028227747743549;49448;2024-11-13;0,3;15883,04;5781,44;20002,32;27067,48;9095,37;29637,25;20322,83;13638,68;159,40;98,89;216,16;170,09;174,91;707,43;258,35;99,18;11,23;4,09;14,14;19,14;6,43;20,96;14,37;9,64;8,46;5,25;11,47;9,03;9,28;37,54;13,71;5,26;93600;8174169
117;71912;421;71491;0,0376493946251555;0,12541942064075798;0,0738132458694301;0,0985478551347828;47525;2024-11-14;0,6;16033,99;5964,57;22208,17;19373,38;20634,90;20069,25;29869,77;17462,79;245,13;131,45;307,56;285,26;271,95;852,90;688,87;173,76;10,58;3,93;14,65;12,78;13,61;13,24;19,70;11,52;8,29;4,45;10,40;9,65;9,20;28,84;23,30;5,88;94021;8246081
118;53697;5923;47774;0,06478630781332276;0,10639124557024696;0,031185578345786294;0,09699014703068543;31096;2024-11-15;11,0;12306,61;5943,52;19409,73;16957,41;16116,51;19670,13;78546,35;25864,24;1965,77;1163,98;2754,86;2918,20;2713,98;2693,33;13175,07;7903,51;6,32;3,05;9,96;8,70;8,27;10,10;40,32;13,28;5,57;3,30;7,81;8,27;7,69;7,63;37,34;22,40;99944;8299778
119;215;215;0;0,19324759321650545;0,19324759321650545;0,014685497268638426;0,1912373506012254;1291;2024-11-16;100,0;147,26;154,47;190,84;126,36;635,85;211,69;601,77;258,46;147,26;154,47;190,84;126,36;635,85;211,69;601,77;258,46;6,33;6,64;8,20;5,43;27,33;9,10;25,86;11,11;6,33;6,64;8,20;5,43;27,33;9,10;25,86;11,11;100159;8299993
120;49724;21247;28477;0,0846193191915595;0,11045289173364269;0,03846369186943783;0,10028950080344393;34929;2024-11-17;42,7;13229,37;7376,19;24212,12;18150,11;11260,36;21365,06;92263,44;47769,57;7200,18;4185,13;12235,08;9358,80;6568,99;10029,13;48062,59;33780,49;5,61;3,13;10,28;7,70;4,78;9,07;39,16;20,27;5,48;3,18;9,31;7,12;5,00;7,63;36,57;25,70;121406;8349717
121;22066;19296;2770;0,10800318442968523;0,11307909855343384;0,035746864267463305;0,10664229462552852;16867;2024-11-18;87,4;7295,53;4908,19;15798,00;9765,51;5328,09;10834,78;46357,36;33171,65;6691,19;4531,27;14325,87;8749,24;4845,27;9602,98;41913,11;31531,62;5,47;3,68;11,84;7,32;3,99;8,12;34,74;24,86;5,48;3,71;11,72;7,16;3,97;7,86;34,30;25,81;140702;8371783
122;1089;1037;52;0,1963792922513077;0,20268800857171668;0,08732195448977953;0,21106765698431457;8169;2024-11-22;95,2;724,45;595,52;966,41;873,18;1200,05;1100,11;5517,83;998,45;713,62;591,55;949,05;855,93;1188,07;1065,48;5424,15;982,64;6,05;4,97;8,07;7,29;10,02;9,19;46,07;8,34;6,06;5,03;8,06;7,27;10,09;9,05;46,08;8,35;141739;8372872
123;1172;1126;46;0,2348600275830255;0,24162341710088306;0,08444551363775908;0,21929317246260546;13260;2024-11-23;96,1;839,97;421,36;1093,49;1145,85;502,41;1079,21;8782,26;1549,79;828,40;417,49;1068,80;1133,15;488,84;1063,76;8695,88;1539,48;5,45;2,73;7,09;7,43;3,26;7,00;56,97;10,05;5,44;2,74;7,02;7,44;3,21;6,98;57,08;10,10;142865;8374044
124;28;28;0;0,22858325606183807;0,22858325606183807;0,009539085422500712;0,23000362631678162;3462;2024-11-24;100,0;24,55;5,16;19,51;31,77;6,69;30,15;211,63;28,96;24,55;5,16;19,51;31,77;6,69;30,15;211,63;28,96;6,85;1,44;5,44;8,87;1,87;8,41;59,04;8,08;6,85;1,44;5,44;8,87;1,87;8,41;59,04;8,08;142893;8374072
